date,close,high,low,open,quoteVolume,volume,weightedAverage
2017-08-14,304.94999999,0.33,200.0,0.33,6273.02994652,2135128.8277415,340.36643311
2017-08-15,297.9,310.0002,288.999,300.4902,6049.61190336,1802000.6205379,297.87045009
2017-08-16,299.15400163,309.1,286.80000001,297.9,3867.96771327,1149004.4548276,297.05637171
2017-08-17,445.09999999,456.99999998,292.0,299.99999999,43034.20919086,16972638.999777,394.39876597
2017-08-18,694.0,779.10999999,436.00000004,444.1,125177.96501741,75125030.553226,600.14580475
2017-08-19,744.0,972.5,602.00000001,694.0,125671.94065192,97676284.282225,777.23224273
2017-08-20,726.89999987,850.0,676.0,741.0,52461.92216357,40001608.737124,762.48843136
2017-08-21,605.50001,750.99999994,562.03000005,726.89999984,50962.45428984,32720953.654988,642.06000497
2017-08-22,680.0,735.0,565.12000004,605.0,41718.3113689,27719864.34871,664.45317269
2017-08-23,675.0,713.09999999,650.0,682.0,18115.27223289,12141149.326622,670.21622256
2017-08-24,619.99999999,698.00000039,600.20000007,675.0,17233.5682855,11127465.237471,645.68550477
2017-08-25,632.01000002,667.0,611.18400001,616.1,11588.20095131,7372623.659348,636.21814035
2017-08-26,622.0,638.39900038,611.49999981,632.01000002,5775.37793275,3605287.5060307,624.25135601
2017-08-27,615.00000041,653.0,580.20000006,620.0,17701.84318717,10854872.785047,613.20579276
2017-08-28,592.89999999,624.0,586.7,615.00000046,7665.19132537,4605485.9113762,600.83117509
2017-08-29,543.92000001,595.74077394,519.0,592.9,16706.29892821,9398355.8264634,562.5636095
2017-08-30,580.99,613.0,528.78940001,545.0,18146.78989151,10311237.666784,568.21276536
2017-08-31,590.11000001,609.00000002,568.19754993,579.72999997,11323.70306389,6718800.5898129,593.33952435
2017-09-01,627.24,648.88,586.0,591.0,12080.98244659,7480321.2937491,619.18153815
2017-09-02,571.2498133,646.0,550.90999999,627.24,14092.03186799,8362102.6444365,593.39226044
2017-09-03,609.9,623.30969997,557.5555,571.24981331,12596.80562834,7509618.3367418,596.15259283
2017-09-04,517.53708569,611.14119996,490.52278298,609.9,16194.67810183,8819809.8515126,544.61161846
2017-09-05,546.9999999,560.0,464.2938,517.53708569,10839.13512682,5603530.5636495,516.9721106
2017-09-06,642.58696045,660.0,539.784,542.50000004,19933.64117571,12256909.852652,614.88564706
2017-09-07,669.85320995,720.0,604.123008,645.0,23942.64244383,15924988.007809,665.13076178
2017-09-08,608.90049999,699.30399959,556.0,669.85320989,23234.97366657,14437720.766946,621.37883064
2017-09-09,584.52511759,609.76742359,565.0,604.64000041,8911.98532963,5242635.9650277,588.2680201
2017-09-10,558.57798278,587.99999852,523.0,584.3,12347.93071808,6857571.3328768,555.3619865
2017-09-11,555.1,591.99999992,550.3,559.93994948,8102.57221718,4614557.5761599,569.5176115
2017-09-12,536.09999921,578.79999986,530.0,555.098,8601.19597977,4777116.4171367,555.40141491
2017-09-13,508.20508348,537.99894293,465.90098965,537.99894292,15828.54340105,7910894.3989485,499.78663219
2017-09-14,388.00568302,515.6,300.0,503.41537629,16782.40200502,7381031.2764687,439.80779832
2017-09-15,429.64918189,454.84,300.0,385.34251748,35157.06554589,13910673.1418,395.67219066
2017-09-16,441.84318333,473.044992,410.00001001,428.9,16679.74403947,7331248.6536619,439.53004532
2017-09-17,439.974382,451.5,407.55636631,441.84318335,6370.31095144,2751619.7799869,431.94434321
2017-09-18,486.01300075,495.99999983,440.08022,440.08022,11955.70361528,5682171.0128918,475.26864128
2017-09-19,529.99999999,548.99999999,455.0,486.99999998,22219.89741494,11138422.426957,501.28145143
2017-09-20,476.00050008,529.99999999,475.36833737,529.99999999,17225.61052689,8615889.6772431,500.17905976
2017-09-21,414.358,485.0,412.10200001,477.02925192,13782.98254687,6231823.8839061,452.13899551
2017-09-22,408.00000265,434.72347746,396.00000001,414.358,9105.86768697,3740349.0668883,410.76251
2017-09-23,430.0,436.0,402.95281896,409.11250054,4891.61212758,2063438.3238389,421.83195846
2017-09-24,421.56691283,434.5,416.00000015,430.0,2158.47552994,914778.97905001,423.80789884
2017-09-25,449.81025001,458.89999974,418.3762315,421.14576706,7157.0339756,3184233.0089889,444.90958403
2017-09-26,449.7618,464.89999997,449.7618,449.81025002,3498.89232284,1596191.5288174,456.19910004
2017-09-27,465.8801496,468.4499998,443.7618,449.7618,7094.38161267,3247083.9429642,457.69795314
2017-09-28,458.0,480.0000001,441.96600004,465.87999986,11607.53424678,5339802.1557085,460.02898136
2017-09-29,440.0,459.9,430.0,457.99999999,4844.98490548,2146092.9645544,442.95142429
2017-09-30,438.31999109,454.78899999,434.00000003,440.00000016,4218.03473243,1878988.5885567,445.46541404
2017-10-01,419.92871824,440.5159113,418.0,438.29999994,4473.62335765,1911499.2575281,427.28211668
2017-10-02,420.89999963,432.101376,410.00000003,418.0,5011.9491689,2108880.0766717,420.77044391
2017-10-03,401.99,421.0000014,393.00000004,420.59999,3081.11957885,1241433.6338933,402.91640818
2017-10-04,356.75951596,403.21799942,350.12345179,401.98999999,8696.63050358,3233600.304847,371.82220211
2017-10-05,353.10000001,368.0,342.11,356.75951593,9137.48352017,3243786.0492221,354.9977455
2017-10-06,364.32687117,373.84,352.99989767,353.43636634,4550.07687781,1668403.0381619,366.67579097
2017-10-07,360.0,366.15215338,354.00000002,362.22220009,2782.51828207,1004516.9286529,361.0100013
2017-10-08,344.83945027,364.0,335.104,360.0,5363.27705381,1885788.2274368,351.61119004
2017-10-09,312.6636195,343.74090162,282.92029288,342.43520107,15499.45834606,4812452.219256,310.49163859
2017-10-10,317.40000001,350.85739991,306.70326991,312.97628312,13312.63861016,4361452.6439982,327.61744472
2017-10-11,312.67700262,320.5,310.0,318.0,3312.72567723,1043368.824625,314.95781005
